YEAR,SOUTHAFRICA,KOREA,DENMARK,CANADA,FINLAND,NETHERLANDS,MEXICO,ITALY,IRELAND,SWITZERLAND,GREECE
1970-Q3,-2.170549061,-0.666995502,-2.447425281,-0.379770671,1.226146532,0.463557766,-0.11839849,1.377407182,-1.649019939,0.052682978,3.336143179
1970-Q4,2.596453736,3.953085911,-0.886038331,1.061121059,0.462373946,0.668282824,-0.341377939,-1.763179,-1.692568432,-1.687544471,-2.51956099
1971-Q1,0.567506738,-4.476386942,0.373660579,-0.261582106,-6.754195398,-1.840682653,-1.460148343,-1.443286399,-0.61506573,-0.704145698,2.525768668
1971-Q2,-3.531279383,0.309067061,-1.409644875,-1.967387789,3.949418205,-1.708334956,-0.448344355,-0.793813471,-1.450377145,0.201143324,-0.603118285
1971-Q3,-0.219776897,-3.208211764,-0.318638219,1.572044857,-2.789140253,-0.50604583,0.410458612,0.263574799,-0.409170574,-0.58503385,6.707465636
1971-Q4,-0.701916769,-0.246586749,-0.327964784,2.084918806,-1.956341432,-2.97277023,1.432999638,-0.62240862,-0.393942063,-1.267413804,-3.681863466
1972-Q1,-1.445551128,-2.551997736,0.447668547,0.020426638,4.380815437,0.743757062,1.002537376,-0.068209528,-0.567366433,-0.897303561,4.127217659
1972-Q2,-0.497039877,-1.431812118,-0.807208719,-1.342940381,-3.00863926,-1.962366036,0.701343569,-1.494583362,0.108665452,-0.991581355,0.203645337
1972-Q3,-2.521813626,-0.974662981,-0.195221693,0.894259681,0.265109728,-0.592635253,0.682177059,-0.651832,-1.267407581,-0.49860351,0.903624999
1972-Q4,-0.229001,6.222465543,-0.885712187,-0.983607298,0.650607129,-1.365303654,0.994333901,-2.045755403,-0.119644948,-0.619229262,1.923629288
1973-Q1,-1.469944367,3.455080526,-0.532217938,0.691172365,0.588752508,1.506360628,-0.631088217,-1.830744437,-2.799633425,-2.008218114,-1.987712382
1973-Q2,-2.776903477,2.663134667,-2.521966732,0.465231137,-5.324263003,-3.288373486,-1.465430939,-0.460765809,-2.063919015,-1.816718931,-2.31381643
1973-Q3,1.027485116,3.573751215,-2.077447955,-1.817973578,-0.587142913,-1.5354486,-3.636946446,0.868158321,-1.52083084,-0.484377765,-2.70188255
1973-Q4,-0.650056186,-1.066517639,-3.787344402,-1.461178583,-0.58612718,1.573806731,-4.157962,-0.069946814,-1.991522578,-2.977489194,-13.85072854
1974-Q1,-0.378616011,-7.369442395,-4.320363364,-0.348909476,-4.678145494,-1.819029536,-7.159556744,-4.581160863,-3.857773756,-0.710462572,-8.928343617
1974-Q2,-1.793003814,-7.129587691,-4.350138761,-2.341612104,-4.617081706,-1.842799208,-2.110172749,-4.393773209,-4.415107924,-0.502843128,-9.518187344
1974-Q3,-3.316054554,-2.885583052,-4.347457653,-2.202152498,-3.091853338,-1.072832314,-2.073746377,-5.572802349,-2.245542697,-4.910171789,-7.251046267
1974-Q4,-4.243254132,-2.755307452,-4.444307854,-2.742578037,-3.295218378,-4.637135476,-3.835920215,-8.353423017,-2.735714264,-6.625981814,1.586535602
1975-Q1,-2.607202353,-5.135416039,-2.138675591,-1.789037364,-3.141023547,-4.051260547,-1.900871435,-5.275951776,-6.241163383,-3.57701543,3.94354627
1975-Q2,-1.117126091,-4.814605572,-1.924711315,-2.354575886,-5.286140332,-1.43663265,-1.585093534,-2.70815649,-4.751885551,-2.293485111,-4.887082344
1975-Q3,-2.514252127,-2.903371974,-0.966018059,-2.63284301,-4.402722961,-1.385640617,-1.965562677,-0.611845719,1.401075664,-1.771282993,-1.845297629
1975-Q4,-1.314571433,-0.119373604,2.46091348,-0.630854597,-4.769131519,1.531665969,-0.950909825,-1.597059304,-2.812746964,-1.344233536,-1.926605502
1976-Q1,-0.779896838,0.762929719,-0.634230827,-0.504330394,-3.659102065,-1.977351701,-3.294897435,-2.470971233,-7.531436999,-0.553638351,0.366179477
1976-Q2,-5.58489559,1.083618122,-2.19480982,0.291134832,-1.592395755,-2.653644557,-1.535294273,-4.622330034,-6.131556211,0.714054307,-3.287200764
1976-Q3,-0.59104903,0.214805555,-0.36628346,0.597399569,-2.232450073,2.393489604,-2.353033662,-0.320226215,-0.54975407,1.255445719,-2.123570636
1976-Q4,-2.173144692,-1.250241148,-3.274154921,-1.042687667,-1.764584056,-4.037573583,-11.95635166,-4.602269722,-2.381807751,0.717775797,3.029543809
1977-Q1,-3.061989896,-2.041421897,-2.306371097,-2.02639773,-4.639643322,0.351003559,-7.820283998,-4.466203953,-1.414000024,-0.438102061,-2.929178567
1977-Q2,-3.590571945,2.103531048,-3.277972486,-0.726930566,-3.247212647,-2.493682632,-3.849499066,-4.312078577,-1.204503609,-0.204232513,-8.167287141
1977-Q3,-2.608095222,2.771428788,0.825743285,-1.708785899,-2.279478124,0.192253474,-2.880282737,-3.616313147,1.355794883,0.283677898,-0.058075467
1977-Q4,-1.660407043,2.870805644,-6.043922851,-1.696613296,-1.772171291,-0.089593696,-1.629829025,-2.537402875,0.380900367,-0.318536541,0.919791391
1978-Q1,-0.483322574,-6.323133381,-3.207532063,-0.246496343,-0.464649778,-0.029361432,-2.692000709,-0.890958525,0.342469311,-0.212182799,1.18906076
1978-Q2,-0.567275,0.018483847,0.53593406,-1.315566754,-1.486151801,-1.282939724,-1.337545862,-1.225906025,-0.344838711,-0.205105906,-6.063659202
1978-Q3,-5.95389278,-2.855274101,0.435655952,-1.76480133,-0.868306483,-0.399347371,-1.809954047,-1.985745722,-1.954972279,-0.097077405,-2.564749747
1978-Q4,-1.415436395,1.97237455,-2.745447776,-0.72672399,0.641019668,0.878332048,-0.947761592,-1.510007973,-0.678538513,0.551626981,5.123865283
1979-Q1,-0.522364273,0.419840259,-0.0223894,-1.351564699,0.126911737,-5.395506508,-3.642276519,-2.270534626,-3.547085656,-0.762968239,-6.094613002
1979-Q2,-1.946562593,-6.799785685,-0.807779007,-1.650406614,0.151427124,4.417459829,-1.403137771,-2.980646639,-2.629180015,-1.133331984,-5.938922371
1979-Q3,-5.390799116,-5.474311035,-5.748254335,-0.666094924,-0.825245572,-0.274088649,-1.764198437,-1.739623546,-3.492233257,-0.405190525,-8.107571724
1979-Q4,-0.328796381,-5.109609638,-2.100613872,-1.599160081,-0.799872295,-0.072597835,-2.663979539,-3.235536894,-2.850058382,1.056703677,-2.181481365
1980-Q1,0.393315432,-9.259451331,-0.926387866,-1.613438339,-1.430022846,-1.747946603,-6.20593783,-6.632108181,-2.967359978,1.076296055,-3.578622487
1980-Q2,-1.366924856,-8.280255299,-5.600046026,-1.853338775,-4.455235286,-3.922464565,-5.049388386,-3.111835268,-6.590044211,-0.935651238,-8.92499974
1980-Q3,-2.718365747,-2.920859482,-4.2884068,-3.060292254,2.379616955,-2.174184012,-4.411082856,-4.180900894,-2.125151562,-0.707090292,-7.011998805
1980-Q4,-4.623712848,-10.05265473,-1.233338879,-2.876941766,-5.920394975,1.037127119,-2.144151305,-4.489934062,-2.201060401,0.073566895,-3.851433532
1981-Q1,-1.359139069,0.156356235,-2.454763318,-2.136108342,-2.897571606,-2.600028754,-5.901294887,-5.800288978,-5.437130981,-3.770101836,-9.252438062
1981-Q2,-0.069666127,-2.677638056,-5.136131619,-0.642551904,-2.450003118,-1.854328424,-3.464846335,-4.247774084,-3.089558894,0.610176225,-7.578429138
1981-Q3,-3.77875578,-0.662040421,-1.758955502,-1.849642134,-1.332891491,-2.678690224,-4.774422822,-2.909710187,-4.634176634,-1.583471317,0.910542427
1981-Q4,-3.041036466,1.053843284,-2.065592252,-3.373273833,-1.581938727,-1.716146635,-4.654534869,-3.740173728,-4.941746148,-0.516289125,-3.483842254
1982-Q1,-3.451631525,-0.373904117,-0.759051848,-3.000204262,-2.204991518,-0.460336764,-13.62175756,-4.125256423,-1.641542561,-1.156279659,-6.170268032
1982-Q2,-5.021609118,0.384373673,-1.221618964,-4.24987748,-2.058967994,-3.722649051,-15.13734835,-3.308627024,-5.389405658,-3.765705904,-11.03267303
1982-Q3,-2.862450433,0.917259194,-1.494481231,-3.279558778,-0.254217587,0.042845057,-21.55772204,-4.175911485,-2.064541797,-3.260760292,-2.599640406
1982-Q4,-5.79220092,3.063165377,-2.50499996,-2.492687965,0.516971287,-2.862446144,-22.77489409,-4.78986918,-1.96682526,-1.49812779,-2.820995534
1983-Q1,-4.20423488,2.61292065,-0.287978761,-1.580269924,-2.418960522,0.773976559,-27.11403447,-3.27935944,-2.899076,1.398117647,-6.573967
1983-Q2,-2.392521378,2.323399471,0.221064455,0.261636407,-1.946477535,2.048010654,-18.59743211,-3.058324743,-2.892330316,0.038779235,-9.233809045
1983-Q3,-1.368229403,3.726451958,-2.578829406,0.433681205,-1.086353718,0.46471739,-12.20879998,-0.453333736,-2.483135849,0.175051077,0.929834693
1983-Q4,0.282273639,0.720142,0.348192558,0.274908045,-1.599571829,-1.701869796,-11.36877885,-1.204252632,-0.897279068,-0.222606754,-2.779717909
1984-Q1,-0.482290757,2.985389947,-0.227226033,0.051458611,-0.002487057,0.773928207,-14.88272655,-3.096299154,-1.035242458,-0.147310646,-4.814766126
1984-Q2,-1.918301901,1.635004507,-0.439082404,0.838671149,-1.993787007,-0.84045981,-12.58300211,-2.008543475,-0.85021059,-0.274083209,-8.096772175
1984-Q3,-4.488612568,1.234093918,-0.129479667,1.048733093,-0.471450205,0.895904869,-9.578445,-0.271807362,0.208853799,1.165412159,1.239699982
1984-Q4,-3.090224758,0.229841684,-0.985835472,-0.302629452,0.077199844,-0.853499561,-9.809801429,-2.35640498,0.517872064,0.048553802,-4.282138447
1985-Q1,-4.867579258,1.657577524,-0.869291036,0.444752779,-1.050228675,0.072896983,-15.05684049,-2.318197634,-1.005209903,-0.407265593,-7.200175996
1985-Q2,-5.667516787,1.672455679,-0.009881165,0.391034938,-0.918036205,0.986279337,-9.807742904,-1.076222382,-0.873221372,-0.03919717,-4.351354834
1985-Q3,-3.186056922,0.837517173,2.279303221,-0.619882458,-0.193980306,-0.947101958,-9.945348876,-0.391563505,-1.507305481,0.518677257,2.222659769
1985-Q4,-3.189335079,2.250382636,1.103617012,0.368227945,-0.200315564,1.957899651,-14.17152319,-1.515657077,-0.573542002,-0.488792165,-5.859267167
1986-Q1,-7.091547286,0.1144458,0.914562455,0.306523146,-1.115251172,0.49072856,-22.54311199,-0.914624357,-2.015345538,0.718008656,-12.39059398
1986-Q2,-2.595304286,3.54483675,-3.613572683,-0.7996904,-0.629960405,1.532661779,-16.89743987,-0.362863062,-1.41631725,0.499503907,-1.66250739
1986-Q3,-4.200967766,4.37833281,-0.134849337,-0.66547123,3.687798317,1.050584383,-21.51735491,0.415032621,0.191945587,0.560403631,-3.483609722
1986-Q4,-3.686077265,2.055996574,-0.637632677,-0.866495785,-2.302725525,-1.910398722,-21.08614576,-0.790238157,0.750976382,-0.596345607,-3.165532874
1987-Q1,-3.089510893,1.919294171,-2.043107649,-1.67184157,-0.702225245,1.50341739,-23.75325818,-0.981537029,-0.40061152,-0.480197045,-7.536789371
1987-Q2,-3.442416608,2.981632313,1.373893604,0.918449937,0.667900458,1.339141499,-22.08342414,0.344083372,0.951062981,0.284164485,-7.523235883
1987-Q3,-2.940857124,0.062558696,-1.98474426,0.174816128,-0.166217554,0.877410094,-24.78969582,-0.788342444,1.020246533,0.953373685,-0.140709069
1987-Q4,-2.200939429,0.699600822,-0.603289993,0.834610136,1.418698099,0.479289625,-26.91545159,-0.542000264,1.352371488,-0.405423462,0.494586199
1988-Q1,-0.927996227,4.508117471,-0.250555988,0.480055879,-0.286792934,0.665525706,-39.57842053,0.228991553,0.585287839,0.38103466,0.706899268
1988-Q2,-2.310441224,-3.935633846,-1.385761436,0.182654047,-1.103288948,0.124074081,-11.78144774,-0.400403188,0.607069244,0.313739636,-8.245791189
1988-Q3,-1.691730215,2.757486134,-2.389491905,-0.22123106,0.162153283,0.384611015,-4.406178942,0.364839197,0.190359008,0.829164,-1.117415589
1988-Q4,-2.414678537,1.650605597,1.223443883,-0.784481927,0.850722889,0.531923625,-1.080092092,-0.611292921,0.413487075,0.418778792,-3.628107934
1989-Q1,-2.920507009,-1.540915522,-0.178600524,-0.537504389,-0.81356401,2.179107661,-3.774602501,-1.299741696,-0.116260346,-0.109528326,2.218814742
1989-Q2,-3.744680512,-0.548044078,-3.681170563,-0.59235113,-0.724560331,0.413578298,-4.006840658,-1.198628734,0.548609149,0.292678249,-5.163728984
1989-Q3,-3.383647707,2.100855774,-2.036967147,-1.054913206,0.148440185,0.28342647,-1.388763631,0.150853548,0.733132157,0.767955935,-3.792522003
1989-Q4,-3.702532441,2.301386243,0.351826026,-0.333925555,-1.275359424,0.280167338,-5.456439086,-0.702920799,1.787078387,-0.49836549,-1.520937582
1990-Q1,-3.50969259,-0.806473337,-0.347838792,-1.651882821,-1.416026785,0.959607421,-7.74729654,-1.651417746,1.62529,-0.067003053,-2.592754786
1990-Q2,-3.217835531,-2.414696856,1.457019333,0.031600522,-2.213996045,0.023111917,-3.274490274,-0.9550049,1.761955917,-0.531097951,-9.91332895
1990-Q3,-3.284042,1.937465252,-0.372971343,-1.511263618,-2.46598088,0.522802882,-4.2162065,-1.184644913,0.368341937,-1.32545701,-10.61115774
1990-Q4,-3.860673372,0.762188321,-2.059588283,-2.107040799,-1.795390477,-0.039799821,-4.630979542,-2.540758519,-0.132977158,-2.247679973,3.85873446
1991-Q1,-4.225698913,-0.015517571,0.295591,-3.801302454,-3.991883679,-0.657310379,-7.045298333,0.247732792,-0.754144868,-1.884967319,-2.105988031
1991-Q2,-3.974747774,-0.947198065,0.143365431,-2.192515437,-2.128552176,0.38383266,-2.087453642,-1.987701948,-0.75030586,-1.912252783,-7.602952712
1991-Q3,-3.65240657,0.711853519,0.378213202,-0.097763988,-1.751440651,-1.122578467,-2.543497102,-1.131740745,-0.954441879,-1.269601012,-0.464698587
1991-Q4,-4.598624356,1.158784128,-1.788036405,0.259136589,-2.075860263,0.146564214,-2.77076926,-0.229972216,0.182773344,-1.04854578,-6.678707653
1992-Q1,-3.912051789,0.175126403,1.241932145,-0.267265181,-0.853394363,0.389834046,-5.428431579,-1.238282545,0.233031338,-0.44535705,-0.442125468
1992-Q2,-3.600305172,-1.331456319,-1.910915583,-0.432162564,-1.58688815,-1.869534342,-1.010642458,-1.239063182,0.325039841,-1.187713585,-6.61901076
1992-Q3,-3.997615154,-0.978173782,2.751951176,-0.296813909,-1.29340659,-0.292149071,-1.086609031,-1.00073225,0.307618372,-0.907262327,0.011137991
1992-Q4,-2.201065351,1.628908483,-0.676392801,0.1227025,-1.096610158,-0.184917465,-2.473294324,-1.878014281,0.43284736,-1.710699256,-7.16715868
1993-Q1,-1.027141478,0.33592818,-1.240273071,-0.158217511,-1.302513801,0.243589078,-3.386826436,-1.314208025,0.133302542,-1.26613915,-5.36064828
1993-Q2,-3.055588961,0.634245621,-1.119401353,0.456812413,-0.712387747,-0.553813428,-1.336034429,-1.4604122,0.713774617,-0.304338914,-2.725797891
1993-Q3,-0.2535459,0.896511478,-0.02895705,0.49971587,1.587573375,-0.194701522,-0.567822219,-1.075403293,-0.294836313,-0.01958831,0.355787983
1993-Q4,-0.655496013,1.124787116,1.60528693,0.470024703,0.375273188,-1.106118633,-0.689641743,-0.289886903,0.729813695,0.50174074,-4.432906521
1994-Q1,-2.261136068,0.183300087,0.913327989,0.938077016,1.008906,0.862090912,-0.771060668,-0.53228318,0.717273837,0.115936019,-2.323054467
1994-Q2,-0.678628477,0.381767686,2.042848572,1.82887439,-0.130452641,0.399859632,0.211626709,0.057157467,0.920171482,-0.294613123,-2.825033634
1994-Q3,-2.443032971,-0.405411031,-0.774332099,0.927385344,1.367403463,0.013233554,-0.556215345,-0.148944793,1.386037406,0.586280897,1.610203199
1994-Q4,-0.348598535,4.203747242,1.937943471,0.946203403,1.217456061,0.414511132,-0.548602812,-0.183418179,2.443780425,-0.024127105,-4.36820844
