交易日期_TrdDt,昨收盘.元.点._PrevClPr,开盘价.元.点._OpPr,最高价.元.点._HiPr,最低价.元.点._LoPr,收盘价.元.点._ClPr,成交量_TrdVol,成交金额.元._TrdSum,流通市值_TMV,return,pr,ppr,fr,dir
2004-12-31,1003.99,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,-0.016,-2
2005-1-7,983.17,983.04,995.71,979.81,983.96,729869400,4737469399,NA,-0.016,NA,NA,0.0044,1
2005-1-14,996.88,996.62,1006.46,987.23,988.31,729784200,4162921211,NA,0.0044,-0.016,NA,-0.0058,-1
2005-1-21,956.25,954.46,984.27,943.44,982.6,1445006000,8152086067,NA,-0.0058,0.0044,-0.016,-0.0136,-2
2005-1-28,974.63,974.63,975.62,965.21,969.21,574880700,3280950331,NA,-0.0136,-0.0058,0.0044,0.0492,2
2005-2-4,993.22,992.25,1021.03,989.94,1016.86,1573621500,9549870633,NA,0.0492,-0.0136,-0.0058,-0.0106,-2
2005-2-18,1020.61,1020.12,1021.2,1005.63,1006.05,813993900,4817732089,NA,-0.0106,0.0492,-0.0136,0.0405,2
2005-2-25,1045.46,1046.27,1059.48,1045.98,1046.76,1817000400,11489961151,NA,0.0405,-0.0106,0.0492,-0.0221,-2
2005-3-4,1027.71,1027.93,1031.85,1022.18,1023.67,817364100,5383868109,NA,-0.0221,0.0405,-0.0106,0.0037,1
2005-3-11,1022.41,1021.08,1028.12,1016.93,1027.43,1147638100,7654557046,NA,0.0037,-0.0221,0.0405,-0.0475,-2
2005-3-18,992.86,991.89,996.4,975.7,978.66,965206000,6314991217,NA,-0.0475,0.0037,-0.0221,-0.0161,-2
2005-3-25,964.8,964.25,966.97,959.06,962.96,710732300,4258127223,NA,-0.0161,-0.0475,0.0037,0.0158,2
2005-4-1,942.2,941.43,989.9,937.55,978.14,1634750500,10109402829,NA,0.0158,-0.0161,-0.0475,0.0259,2
2005-4-8,984.73,984.66,1003.7,979.53,1003.45,1476252600,9151349808,7.23E+11,0.0259,0.0158,-0.0161,-0.0293,-2
2005-4-15,986.98,982.61,982.61,971.93,974.08,1040895500,6541675456,7.02E+11,-0.0293,0.0259,0.0158,-0.0359,-2
2005-4-22,943.98,942.91,947.91,934.96,939.1,1069188400,6373550345,6.77E+11,-0.0359,-0.0293,0.0259,-0.0071,-1
2005-4-29,942.07,940.81,942.45,929.81,932.39,1123541900,6853192443,6.71E+11,-0.0071,-0.0359,-0.0293,-0.0481,-2
2005-5-13,885.82,883.5,898.5,875.58,887.54,1124490600,6228419643,6.52E+11,-0.0481,-0.0071,-0.0359,-0.0054,-1
2005-5-20,884.17,883.51,891.02,879.18,882.76,722667600,3835476288,6.47E+11,-0.0054,-0.0481,-0.0071,-0.0377,-2
2005-5-27,857.33,855.6,864.96,848.4,849.51,774998300,4240678764,6.21E+11,-0.0377,-0.0054,-0.0481,-0.0371,-2
2005-6-3,818.38,816.55,823.86,807.97,818.03,793605600,4164754479,5.97E+11,-0.0371,-0.0377,-0.0054,0.0935,2
2005-6-10,912.6,911.94,911.94,889.1,894.56,2239150200,12006754528,6.53E+11,0.0935,-0.0371,-0.0377,-0.0159,-2
2005-6-17,879.24,883.61,888.08,876.04,880.35,1496300900,8285455982,6.39E+11,-0.0159,0.0935,-0.0371,0.0204,2
2005-6-24,893.57,892.06,898.67,888.4,898.3,891873900,4732186046,6.51E+11,0.0204,-0.0159,0.0935,-0.0432,-2
2005-7-1,878.69,875.93,875.93,858.37,859.49,1009459697,5086726820,6.29E+11,-0.0432,0.0204,-0.0159,-0.0349,-2
2005-7-8,844.73,842.62,842.62,827.23,829.49,722100042,3447787083,6.06E+11,-0.0349,-0.0432,0.0204,0.0139,2
2005-7-15,849.59,849.87,854.6,837.78,841,888956339,4203939701,6.14E+11,0.0139,-0.0349,-0.0432,0.0222,2
2005-7-22,843.99,847.54,867.16,842.99,859.69,2163097613,10210013616,6.27E+11,0.0222,0.0139,-0.0349,0.0331,2
2005-7-29,890.88,889.41,892.29,883.38,888.16,1339740598,6409062024,6.47E+11,0.0331,0.0222,0.0139,0.0401,2
2005-8-5,904.15,904.04,923.81,903.94,923.8,1912376473,9585685726,6.73E+11,0.0401,0.0331,0.0222,0.0157,2
2005-8-12,953.99,954.72,959.27,933.99,938.32,2916814435,14457553256,6.84E+11,0.0157,0.0401,0.0331,-0.0163,-2
2005-8-19,920.67,918.09,927.32,910.08,923.04,2224267940,10881501177,6.77E+11,-0.0163,0.0157,0.0401,0.0057,1
2005-8-26,930.12,930.25,930.33,921.84,928.26,1542980361,7186198527,6.78E+11,0.0057,-0.0163,0.0157,0.0211,2
2005-9-2,944.56,945.98,947.92,941.31,947.87,1861443797,8864773608,6.92E+11,0.0211,0.0057,-0.0163,0.0013,1
2005-9-9,955.28,955.11,959.9,946.02,949.07,1621931001,7924193974,6.93E+11,0.0013,0.0211,0.0057,0.0194,2
2005-9-16,969.6,969.62,970.37,964.28,967.5,1397857095,6989327513,7.07E+11,0.0194,0.0013,0.0211,-0.0531,-2
2005-9-23,923.27,921.51,927.42,914.81,916.15,1154764377,5549882042,6.69E+11,-0.0531,0.0194,0.0013,0.0014,1
2005-9-30,915.98,916.59,918.66,913.45,917.39,900143263,4529466676,6.70E+11,0.0014,-0.0531,0.0194,-0.0137,-2
2005-10-14,916.5,916.34,917.89,902.81,904.83,1012394049,5568049025,6.63E+11,-0.0137,0.0014,-0.0531,-5.00E-04,-1
2005-10-21,899.91,899.64,907.79,897.99,904.41,1136458825,5645096184,6.62E+11,-5.00E-04,-0.0137,0.0014,-0.0406,-2
2005-10-28,875.85,875.86,880.21,859.69,867.73,1197337573,5565266453,6.33E+11,-0.0406,-5.00E-04,-0.0137,0.0123,2
2005-11-4,874.58,873.35,878.36,869.68,878.36,956731049,4570236086,6.40E+11,0.0123,-0.0406,-5.00E-04,-0.0155,-2
2005-11-11,862.97,861.22,867.33,857.79,864.79,921971970,4221479222,6.30E+11,-0.0155,0.0123,-0.0406,0.0202,2
2005-11-18,862.66,862.58,886.58,862.4,882.24,1759780298,8353934317,6.42E+11,0.0202,-0.0155,0.0123,0.0021,1
2005-11-25,881.49,881.25,884.16,877.26,884.11,1300354588,5127946933,6.43E+11,0.0021,0.0202,-0.0155,-0.016,-2
2005-12-2,873.07,872.93,875.83,866.37,869.94,849202059,3937214093,6.34E+11,-0.016,0.0021,0.0202,0.02,2
2005-12-9,874.06,873.69,887.57,871.26,887.36,1271952575,5793086795,6.47E+11,0.02,-0.016,0.0021,0.0171,2
2005-12-16,896.43,895.83,902.75,894.1,902.56,1145210671,5418465602,6.58E+11,0.0171,0.02,-0.016,0.0148,2
2005-12-23,908.75,908.96,915.89,908.51,915.89,1190699809,5799046691,6.69E+11,0.0148,0.0171,0.02,0.0083,1
2005-12-30,932.03,933.45,934,921.83,923.45,1560025063,8517980122,6.77E+11,0.0083,0.0148,0.0171,0.0504,2
2006-1-6,959.13,961.91,975.63,956.04,970.03,3028636800,16170989866,7.21E+11,0.0504,0.0083,0.0148,0.009,1
2006-1-13,983.72,985.04,988.11,973.68,978.81,2228186100,11215633222,7.28E+11,0.009,0.0504,0.0083,0.0148,2
2006-1-20,991.22,991.57,994.5,987.06,993.34,2614706200,12929890431,7.40E+11,0.0148,0.009,0.0504,0.0164,2
2006-1-25,999.09,998.84,1009.65,989.51,1009.6,2180075800,11644197379,7.51E+11,0.0164,0.0148,0.009,0.0225,2
2006-2-10,1019.6,1019.42,1032.6,1018.48,1032.34,2202445300,11411753871,7.68E+11,0.0225,0.0164,0.0148,-0.0116,-2
2006-2-17,1020.12,1020.06,1028.57,1015.99,1020.37,2102687500,10774127956,7.59E+11,-0.0116,0.0225,0.0164,0.0285,2
2006-2-24,1041.37,1041.97,1049.69,1041.97,1049.44,1967610400,10286380796,7.80E+11,0.0285,-0.0116,0.0225,-0.0074,-1
2006-3-3,1038.67,1037.99,1043.42,1029.56,1041.68,2120053900,11437141697,7.83E+11,-0.0074,0.0285,-0.0116,-0.0315,-2
2006-3-10,1004.34,1004.75,1011.76,1004.69,1008.9,1188798300,6337829115,7.59E+11,-0.0315,-0.0074,0.0285,0.015,2
2006-3-17,1027.62,1027.64,1029.56,1021.08,1024.02,1500192400,7945174864,7.71E+11,0.015,-0.0315,-0.0074,0.0182,2
2006-3-24,1048.54,1049.12,1051.76,1041.23,1042.6,2009823700,11031900342,7.84E+11,0.0182,0.015,-0.0315,0.0177,2
2006-3-31,1055.63,1053.85,1061.47,1050.22,1061.09,2227619000,12045672446,8.00E+11,0.0177,0.0182,0.015,0.0396,2
2006-4-7,1103.24,1102.94,1105.1,1091.89,1103.15,3257086000,17760103659,8.34E+11,0.0396,0.0177,0.0182,0.014,2
2006-4-14,1093.92,1091.69,1118.66,1091.67,1118.61,3352796200,16782531968,8.46E+11,0.014,0.0396,0.0177,0.0273,2
2006-4-21,1134.38,1133.2,1152.89,1127.65,1149.16,4077291000,22750697130,8.64E+11,0.0273,0.014,0.0396,0.0202,2
2006-4-28,1155.27,1143.59,1173.88,1133.19,1172.35,4080185800,24343009251,8.76E+11,0.0202,0.0273,0.014,0.1057,2
2006-5-12,1255.04,1255.23,1296.38,1252.68,1296.26,5492033100,34261843942,9.65E+11,0.1057,0.0202,0.0273,0.0539,2
2006-5-19,1331.2,1334.07,1371.22,1329.32,1366.1,6712386900,36222359895,1.01E+12,0.0539,0.1057,0.0202,-0.0257,-2
2006-5-26,1307.7,1312.24,1331.45,1309.46,1331.02,3638566500,21741991960,9.88E+11,-0.0257,0.0539,0.1057,0.0444,2
2006-6-2,1402.88,1406.62,1411.78,1382,1390.12,6410916200,37407323630,1.03E+12,0.0444,-0.0257,0.0539,-0.069,-2
2006-6-9,1325.98,1320.81,1329.84,1293.05,1294.18,3739262300,21631040581,9.62E+11,-0.069,0.0444,-0.0257,0.0184,2
2006-6-16,1285.38,1290,1318.02,1290,1318.01,2840803200,16152374694,9.80E+11,0.0184,-0.069,0.0444,0.0163,2
2006-6-23,1331.55,1329.11,1340.27,1319.51,1339.45,2565164400,15125536432,9.95E+11,0.0163,0.0184,-0.069,0.0407,2
2006-6-30,1395.12,1402.6,1408.79,1384.99,1393.96,3839674500,22942443838,1.03E+12,0.0407,0.0163,0.0184,0.0118,2
2006-7-7,1418.67,1423.72,1426.4,1405.99,1410.43,3355617600,22529571028,1.07E+12,0.0118,0.0407,0.0163,-0.0378,-2
2006-7-14,1346.09,1333.74,1367.74,1327.59,1357.13,3265910500,21065092098,1.03E+12,-0.0378,0.0118,0.0407,-8.00E-04,-1
2006-7-21,1345.19,1344.6,1357.34,1344.57,1356.03,2039364800,12442432415,1.04E+12,-8.00E-04,-0.0378,0.0118,-0.0108,-2
2006-7-28,1355.55,1354.92,1359.74,1327.66,1341.39,2155750500,13809393177,1.03E+12,-0.0108,-8.00E-04,-0.0378,-0.0742,-2
2006-8-4,1271.74,1272.36,1278.25,1239.38,1241.91,1605362800,9762333439,9.54E+11,-0.0742,-0.0108,-8.00E-04,0.0272,2
2006-8-11,1271.47,1273.27,1277.97,1265.52,1275.65,1530322700,9033367272,9.84E+11,0.0272,-0.0742,-0.0108,-0.0061,-1
2006-8-18,1271.63,1270.22,1280.83,1265.82,1267.87,1396452400,7951341069,1.00E+12,-0.0061,0.0272,-0.0742,0.0217,2
2006-8-25,1292.4,1293.5,1301.75,1292.45,1295.44,1855793700,11586280956,1.03E+12,0.0217,-0.0061,0.0272,0.0175,2
2006-9-1,1338.69,1339.31,1340.13,1314.57,1318.1,2503368800,14832251927,1.04E+12,0.0175,0.0217,-0.0061,0.0107,2
2006-9-8,1328.38,1327.56,1334.73,1326.25,1332.15,1723027300,10157793916,1.06E+12,0.0107,0.0175,0.0217,0.0226,2
2006-9-15,1338.28,1338.41,1362.4,1338.14,1362.32,3605714800,19594629097,1.08E+12,0.0226,0.0107,0.0175,0.0092,1
2006-9-22,1387.37,1389.87,1393.53,1373.94,1374.85,2826504200,18173169466,1.09E+12,0.0092,0.0226,0.0107,0.0207,2
2006-9-29,1387,1389.08,1405.56,1389.04,1403.27,2716674200,17347640073,1.11E+12,0.0207,0.0092,0.0226,0.0197,2
2006-10-13,1426.5,1424.3,1436.1,1420.96,1430.88,2829515600,16770803951,1.14E+12,0.0197,0.0207,0.0092,0.0065,1
2006-10-20,1439.38,1440.67,1447.95,1436.65,1440.18,2656014300,16526648077,1.14E+12,0.0065,0.0197,0.0207,-8.00E-04,-1
2006-10-27,1456.1,1455.98,1460.45,1433.36,1439.05,3737930400,21496189402,1.16E+12,-8.00E-04,0.0065,0.0197,0.0342,2
2006-11-3,1479.66,1481.58,1497.47,1480.77,1488.29,3937202700,23319284127,1.21E+12,0.0342,-8.00E-04,0.0065,0.0106,2
2006-11-10,1524.71,1525.23,1535.2,1493.2,1504.06,5392286700,31931185346,1.25E+12,0.0106,0.0342,-8.00E-04,0.0386,2
2006-11-17,1533.29,1528.01,1562.24,1521.55,1562.08,4444619100,26950444425,1.29E+12,0.0386,0.0106,0.0342,0.0477,2
2006-11-24,1634.91,1629.89,1640.75,1611.55,1636.58,4971209600,32398044934,1.36E+12,0.0477,0.0386,0.0106,0.0566,2
2006-12-1,1714.36,1719.28,1741.8,1715.79,1729.22,5841358100,41045221076,1.44E+12,0.0566,0.0477,0.0386,-0.0102,-2
2006-12-8,1775.71,1752.77,1772.16,1710,1711.58,6625774600,41980241160,1.43E+12,-0.0102,0.0566,0.0477,0.0912,2
2006-12-15,1836.14,1842.88,1867.78,1832.51,1867.64,4941444100,36957407983,1.57E+12,0.0912,-0.0102,0.0566,0.015,2
2006-12-22,1908.98,1896.48,1918.49,1880.57,1895.64,4623050100,34870781835,1.59E+12,0.015,0.0912,-0.0102,0.0767,2
2006-12-29,1979.93,1991.88,2052.86,1991.88,2041.05,7385194700,55716388327,1.73E+12,0.0767,0.015,0.0912,0.0156,2
2007-1-5,2067.09,2051.15,2083.4,2030.76,2072.88,9274344700,68026060235,1.81E+12,0.0156,0.0767,0.015,0.0487,2
2007-1-12,2231.63,2215.86,2249.54,2159.78,2173.75,7652572000,61742830353,1.90E+12,0.0487,0.0156,0.0767,0.1023,2
2007-1-19,2317.09,2320.87,2396.09,2320.87,2396.09,8333402200,73538873546,2.10E+12,0.1023,0.0487,0.0156,0.0488,2
2007-1-26,2452.83,2415.75,2524.24,2356.98,2512.92,7865400800,73275675715,2.24E+12,0.0488,0.1023,0.0487,-0.0855,-2
2007-2-2,2395.17,2397.06,2403.62,2293.28,2298,5937715400,53535112102,2.06E+12,-0.0855,0.0488,0.1023,0.0432,2
2007-2-9,2410.6,2412.64,2417.64,2376.02,2397.24,5551553200,51302933998,2.15E+12,0.0432,-0.0855,0.0488,0.1166,2
2007-2-16,2668.63,2692.67,2717.57,2660.49,2676.74,7590878500,71597577014,2.40E+12,0.1166,0.0432,-0.0855,-0.0628,-2
2007-3-2,2473.54,2468.67,2523.86,2455.82,2508.73,5794680500,54222099462,2.27E+12,-0.0628,0.1166,0.0432,0.0409,2
2007-3-9,2627.63,2632.8,2643.81,2587.49,2611.39,7041132600,67933045137,2.37E+12,0.0409,-0.0628,0.1166,-0.0027,-1
2007-3-16,2645.55,2656.01,2665.39,2576.32,2604.23,7533185000,74777024467,2.40E+12,-0.0027,0.0409,-0.0628,0.043,2
2007-3-23,2711.32,2710.36,2726.62,2653.79,2716.27,7391191900,76304490420,2.51E+12,0.043,-0.0027,0.0409,0.0241,2
2007-3-30,2783.3,2768.71,2801.95,2753.15,2781.78,6295070600,66536969255,2.58E+12,0.0241,0.043,-0.0027,0.0684,2
2007-4-6,2945.05,2921.73,2977.46,2911.05,2972.01,7910232800,93049572083,2.77E+12,0.0684,0.0241,0.043,0.0664,2
2007-4-13,3176.44,3182.78,3211.61,3154.11,3169.23,10065311600,1.30E+11,2.98E+12,0.0664,0.0684,0.0241,0.0379,2
2007-4-20,3150.3,3165.67,3297.41,3165.67,3289.28,9446986900,1.19E+11,3.14E+12,0.0379,0.0664,0.0684,0.0551,2
2007-4-27,3493.58,3499.94,3503.89,3436,3470.52,8069863600,1.14E+11,3.33E+12,0.0551,0.0379,0.0664,0.0254,2
2007-4-30,3470.52,3487.36,3568.68,3478.93,3558.71,9430286400,1.38E+11,3.42E+12,0.0254,0.0551,0.0379,0.0404,2
2007-5-11,3724.51,3696.29,3715.37,3629.71,3702.61,8896176100,1.34E+11,3.58E+12,0.0404,0.0254,0.0551,0.02,2
2007-5-18,3778.61,3771.27,3805.21,3746.24,3776.63,8241889800,1.21E+11,3.73E+12,0.02,0.0404,0.0254,0.0552,2
2007-5-25,3919.75,3907.73,3996.85,3888.31,3985.25,9541661500,1.51E+11,3.95E+12,0.0552,0.02,0.0404,-0.0455,-2
2007-6-1,3927.95,3953.1,4014.15,3780.03,3803.95,11993793900,1.94E+11,3.82E+12,-0.0455,0.0552,0.02,0.0089,1
2007-6-8,3802.3,3814.18,3861.21,3769.15,3837.87,8907474200,1.37E+11,3.86E+12,0.0089,-0.0455,0.0552,0.0681,2
2007-6-15,4075.82,4043.11,4115.73,4025.1,4099.38,6877960000,1.09E+11,4.14E+12,0.0681,0.0089,-0.0455,-0.0117,-2
2007-6-22,4197.28,4203.13,4220.92,3970.35,4051.43,7955237400,1.28E+11,4.10E+12,-0.0117,0.0681,0.0089,-0.0709,-2
2007-6-29,3858.52,3769.33,3867.75,3718.16,3764.08,5892087000,88527586075,3.85E+12,-0.0709,-0.0117,0.0681,-0.0143,-2
2007-7-6,3537.43,3517.6,3712.74,3475.27,3710.28,5136651200,71894989944,3.85E+12,-0.0143,-0.0709,-0.0117,0.0296,2
2007-7-13,3816.92,3825.03,3829.68,3773.93,3820.12,2689324200,38615513802,3.97E+12,0.0296,-0.0143,-0.0709,0.0397,2
2007-7-20,3807,3808.08,3971.89,3808.08,3971.88,5527112100,81556214966,4.13E+12,0.0397,0.0296,-0.0143,0.0844,2
2007-7-27,4303.19,4277.55,4318.34,4225.03,4307.14,6502110900,1.06E+11,4.48E+12,0.0844,0.0397,0.0296,0.0676,2
2007-8-3,4436.19,4472.89,4599.25,4472.89,4598.38,7819047300,1.41E+11,4.81E+12,0.0676,0.0844,0.0397,0.0279,2
2007-8-10,4777.29,4765.85,4771.61,4631.04,4726.68,7496288100,1.24E+11,4.96E+12,0.0279,0.0676,0.0844,-0.0212,-2
2007-8-17,4721.94,4694.2,4774.99,4616.97,4626.58,6365212000,1.12E+11,4.93E+12,-0.0212,0.0279,0.0676,0.1277,2
2007-8-24,5135.93,5161.15,5231.15,5158.03,5217.58,7376987500,1.35E+11,5.59E+12,0.1277,-0.0212,0.0279,0.0152,2
2007-8-31,5241.23,5255.09,5307.42,5219.99,5296.81,6678035700,1.23E+11,5.70E+12,0.0152,0.1277,-0.0212,-4.00E-04,-1
2007-9-7,5412.04,5382.91,5402.72,5284.65,5294.8,7929888000,1.46E+11,5.75E+12,-4.00E-04,0.0152,0.1277,0.0194,2
2007-9-14,5349.97,5362.47,5405.85,5274.22,5397.28,6029562600,1.19E+11,5.88E+12,0.0194,-4.00E-04,0.0152,0.0131,2
2007-9-21,5494.91,5508.51,5516.11,5357.5,5468.1,6110635600,1.21E+11,5.97E+12,0.0131,0.0194,-4.00E-04,0.0206,2
2007-9-28,5427.66,5479.85,5590.85,5479.85,5580.81,4851462000,1.04E+11,6.11E+12,0.0206,0.0131,0.0194,0.028,2
2007-10-12,5760.08,5777.9,5796.28,5485.56,5737.22,7800106400,1.61E+11,6.31E+12,0.028,0.0206,0.0131,-0.0215,-2
2007-10-19,5615.75,5651.03,5711.5,5563.78,5614.06,3846645700,84971542142,6.45E+12,-0.0215,0.028,0.0206,-0.0391,-2
2007-10-26,5333.79,5279.1,5428.58,5266.37,5394.81,3589596500,77283751807,6.39E+12,-0.0391,-0.0215,0.028,0.0145,2
2007-11-2,5605.23,5514.85,5565.66,5448.99,5472.93,4328950000,93671082512,6.58E+12,0.0145,-0.0391,-0.0215,-0.079,-2
2007-11-9,5093.67,5042.76,5129.11,4962.3,5040.52,3458382600,67968651438,6.06E+12,-0.079,0.0145,-0.0391,-0.0065,-1
2007-11-16,5081.11,4999.84,5021.71,4917.49,5007.66,2331099100,47079247224,6.05E+12,-0.0065,-0.079,0.0145,-0.0303,-2
2007-11-23,4772.62,4733.36,4857.05,4711.79,4856.16,2014630500,41174112142,5.99E+12,-0.0303,-0.0065,-0.079,-0.0245,-2
2007-11-30,4842.07,4841.08,4841.08,4723.79,4737.41,2938369600,57402977557,5.89E+12,-0.0245,-0.0303,-0.0065,0.0642,2
2007-12-7,4971.06,4979.84,5041.78,4977.87,5041.35,2719822300,50380400719,6.29E+12,0.0642,-0.0245,-0.0303,-0.0126,-2
2007-12-14,4884.3,4827.39,4979.19,4800.24,4977.65,3072792500,61162569184,6.22E+12,-0.0126,0.0642,-0.0245,0.025,2
2007-12-21,5037.19,5016.46,5103.77,5014.7,5101.85,3725149400,73549811301,6.46E+12,0.025,-0.0126,0.0642,0.0463,2
2007-12-28,5367.53,5379.52,5391.66,5323.82,5338.27,4536141500,95056654641,6.78E+12,0.0463,0.025,-0.0126,0.0272,2
2008-1-4,5422.03,5430.63,5499.09,5422.46,5483.65,5174642000,1.19E+11,7.15E+12,0.0272,0.0463,0.025,0.0393,2
2008-1-11,5672.15,5688.56,5702.57,5629.64,5699.15,5616707900,1.22E+11,7.62E+12,0.0393,0.0272,0.0463,-0.05,-2
2008-1-18,5365.62,5358.18,5419.57,5307.5,5414.47,4391300500,95080872876,7.25E+12,-0.05,0.0393,0.0272,-0.0622,-2
2008-1-25,5027.21,5022.9,5121.41,4966.52,5077.43,4714210800,1.01E+11,6.80E+12,-0.0622,-0.05,0.0393,-0.0996,-2
2008-2-1,4620.4,4623.62,4660.99,4414.12,4571.94,3512552800,67941469336,5.28E+12,-0.0996,-0.0622,-0.05,0.0765,2
2008-2-5,4950.12,4942.88,4995.57,4878.12,4921.83,3279635600,70626096586,5.69E+12,0.0765,-0.0996,-0.0622,-0.022,-2
2008-2-15,4880.25,4846.02,4846.02,4742.1,4813.31,2426260100,47298764901,5.56E+12,-0.022,0.0765,-0.0996,-0.0231,-2
2008-2-22,4876.03,4850.88,4850.88,4649.81,4702.24,3791862700,77110349593,5.44E+12,-0.0231,-0.022,0.0765,-0.0059,-1
2008-2-29,4622.06,4616.24,4683.16,4597.63,4674.55,2335085800,47275050938,5.41E+12,-0.0059,-0.0231,-0.022,-0.0113,-2
2008-3-7,4685.03,4641.76,4693.21,4597.01,4621.69,2869094500,60552444836,5.35E+12,-0.0113,-0.0059,-0.0231,-0.1004,-2
2008-3-14,4198.96,4179.44,4212.41,4092.79,4157.87,2342788500,45564248765,4.82E+12,-0.1004,-0.0113,-0.0059,-0.0289,-2
2008-3-21,4001.83,3998.2,4083.16,3958.97,4037.83,4261516300,74985408749,4.68E+12,-0.0289,-0.1004,-0.0113,-0.0296,-2
2008-3-28,3748.92,3712.98,3925.86,3661.38,3918.16,4209677700,72726088760,4.54E+12,-0.0296,-0.0289,-0.1004,-0.0683,-2
2008-4-3,3547.98,3518.22,3665.65,3457.62,3650.7,3298949300,54233901216,4.23E+12,-0.0683,-0.0296,-0.0289,0.0364,2
2008-4-11,3754.72,3794.3,3825.3,3755.01,3783.73,2632859000,44418993019,4.38E+12,0.0364,-0.0683,-0.0296,-0.1351,-2
